FDT_STA_ID,STA_DESC,FDT_DATE_TIME,FDT_DEPTH,FDT_COMMENT,FDT_FIELD_PH,FDT_TEMP_CELCIUS,DO_mg_L,Method.Used.for.DO,FDT_SPECIFIC_CONDUCTANCE,NITROGEN_mg_L,Method.Used.for.Nitrogen,AMMONIA_mg_L,NOX_mg_L,Method.used.to.detemine.NOx,NITROGEN_KJELDAHL_TOTAL_00625_mg_L,PHOSPHORUS_TOTAL_00665_mg_L,PHOSPHORUS_TOTAL_ORTHOPHOSPHATE_70507_mg_L,HARDNESS_TOTAL_00900_mg_L,CHLORIDE_mg_L,Method.used.to.determine.Chloride,SULFATE_mg_L,Method.used.to.determine.Sulfate,ECOLI,RMK_ECOLI,ENTEROCOCCI,RMK_ENTEROCOCCI,FECAL_COLI,RMK_FECAL_COLI,CHLOROPHYLL_A_ug_L,TSS_mg_L,SECCHI_DEPTH_M,NOx_TKN_Sum,Latitude,Longitude,STA_LV1_CODE,STA_LV3_CODE,LV3_DESCRIPTION,geom
4AROA167.34,Buoy R12 - SML,6/29/94 9:00,0.3,STORET DATA CONVERSION,9.8,26.1,7.04,1.0,217.0,0.46,2.0,0.04,0.06,2.0,0.4,0.02,0.02,,7.7,1.0,10.6,1.0,,,,,100.0,,,3.0,,0.06,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,6/29/94 9:10,41.99,STORET DATA CONVERSION,8.64,10.6,2.34,1.0,180.0,0.86,2.0,0.04,0.56,2.0,0.3,0.02,0.02,,8.1,1.0,10.9,1.0,,,,,,,,3.0,,0.56,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,6/29/94 9:20,20.99,STORET DATA CONVERSION,8.9,13.3,5.5,1.0,165.0,0.76,2.0,0.04,0.46,2.0,0.3,0.02,0.02,,8.0,1.0,10.2,1.0,,,,,,,,3.0,,0.46,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,6/29/94 9:30,99.87,STORET DATA CONVERSION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,10/5/94 10:00,0.3,STORET DATA CONVERSION,8.4,20.5,8.3,1.0,170.0,0.35,2.0,0.04,0.05,2.0,0.3,0.02,0.01,,9.3,1.0,12.9,1.0,,,,,100.0,,,3.0,,0.05,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,10/5/94 10:15,42.99,STORET DATA CONVERSION,7.56,16.0,0.41,1.0,150.0,,,,,,,,,,9.1,1.0,11.3,1.0,,,,,,,,3.0,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,10/5/94 10:30,20.99,STORET DATA CONVERSION,,,,,,0.55,2.0,0.04,0.35,2.0,0.2,0.02,0.01,,,,,,,,,,,,,,,0.35,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,4/26/95 10:30,0.3,STORET DATA CONVERSION,8.77,15.6,10.86,1.0,165.0,0.4,2.0,0.04,0.2,2.0,0.2,0.02,0.02,,9.6,1.0,13.8,1.0,,,,,100.0,,,3.0,,0.2,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,4/26/95 10:40,41.99,STORET DATA CONVERSION,8.25,6.4,7.92,1.0,150.0,0.64,2.0,0.06,0.54,2.0,0.1,0.01,0.01,,11.2,1.0,15.3,1.0,,,,,,,,3.0,,0.54,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,4/26/95 10:50,20.99,STORET DATA CONVERSION,8.3,8.4,9.68,1.0,135.0,0.51,2.0,0.04,0.31,2.0,0.2,0.01,0.01,,8.8,1.0,12.7,1.0,,,,,,,,3.0,,0.31,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,6/28/95 9:30,0.3,STORET DATA CONVERSION,8.63,25.66,9.05,1.0,200.0,0.35,2.0,0.04,0.05,2.0,0.3,0.05,0.01,,8.9,1.0,13.8,1.0,,,,,100.0,,,3.0,,0.05,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,6/28/95 9:45,44.99,STORET DATA CONVERSION,8.62,9.04,1.47,1.0,155.0,0.71,2.0,0.04,0.51,2.0,0.2,0.03,0.01,,9.4,1.0,14.4,1.0,,,,,,,,3.0,,0.51,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,6/28/95 10:00,22.99,STORET DATA CONVERSION,8.15,11.82,6.92,1.0,140.0,0.49,2.0,0.04,0.39,2.0,0.1,0.01,0.01,,8.8,1.0,12.4,1.0,,,,,,,,3.0,,0.39,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,6/28/95 9:30,1.0,,,25.6,8.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,6/28/95 9:30,2.0,,,25.6,8.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,6/28/95 9:30,3.0,,,25.6,8.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,6/28/95 9:30,4.0,,,25.2,8.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,6/28/95 9:30,5.0,,,24.3,9.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,6/28/95 9:30,6.0,,,20.3,7.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,6/28/95 9:30,7.0,,,17.8,7.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,6/28/95 9:30,8.0,,,16.7,9.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,6/28/95 9:30,9.0,,,15.5,8.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,6/28/95 9:30,10.0,,,14.9,7.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,6/28/95 9:30,11.0,,,14.2,7.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,6/28/95 9:30,12.0,,,13.9,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,6/28/95 9:30,13.0,,,13.6,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,6/28/95 9:30,14.0,,,13.5,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,6/28/95 9:30,15.0,,,13.1,6.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,6/28/95 9:30,16.0,,,13.0,6.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,6/28/95 9:30,17.0,,,12.9,6.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,6/28/95 9:30,18.0,,,12.8,6.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,6/28/95 9:30,19.0,,,12.6,6.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,6/28/95 9:30,20.0,,,12.3,6.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,4/26/95 10:40,1.0,STORET DATA CONVERSION,,15.5,10.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,4/26/95 10:40,2.0,,,14.9,10.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,4/26/95 10:40,3.0,,,14.9,10.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,4/26/95 10:40,4.0,,,14.8,10.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,4/26/95 10:40,5.0,,,14.6,10.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,4/26/95 10:40,6.0,,,14.5,10.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,4/26/95 10:40,7.0,,,14.1,10.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,4/26/95 10:40,8.0,,,13.5,10.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,4/26/95 10:40,9.0,,,12.2,10.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,4/26/95 10:40,10.0,,,11.6,10.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,4/26/95 10:40,11.0,,,11.2,10.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,4/26/95 10:40,12.0,,,10.9,10.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,4/26/95 10:40,13.0,,,9.9,10.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,4/26/95 10:40,14.0,,,9.9,9.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,4/26/95 10:40,15.0,,,9.5,9.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,4/26/95 10:40,16.0,,,9.1,9.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,4/26/95 10:40,17.0,,,9.1,9.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,4/26/95 10:40,18.0,,,8.9,9.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,4/26/95 10:40,20.0,,,8.6,9.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,4/26/95 10:40,21.0,,,8.6,9.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,4/26/95 10:40,23.0,,,8.0,9.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,4/26/95 10:40,24.0,,,7.8,9.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,4/26/95 10:40,25.0,,,7.5,9.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,4/26/95 10:40,26.0,,,7.5,9.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,4/26/95 10:40,27.0,,,7.4,9.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
4AROA167.34,Buoy R12 - SML,4/26/95 10:40,28.0,,,7.3,9.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.069511,-79.606521,RESERV,ATRND,Ambient Trend Station,
