FDT_STA_ID,STA_DESC,FDT_DATE_TIME,FDT_DEPTH,FDT_COMMENT,FDT_FIELD_PH,FDT_TEMP_CELCIUS,DO_mg_L,Method.Used.for.DO,FDT_SPECIFIC_CONDUCTANCE,NITROGEN_mg_L,Method.Used.for.Nitrogen,AMMONIA_mg_L,NOX_mg_L,Method.used.to.detemine.NOx,NITROGEN_KJELDAHL_TOTAL_00625_mg_L,PHOSPHORUS_TOTAL_00665_mg_L,PHOSPHORUS_TOTAL_ORTHOPHOSPHATE_70507_mg_L,HARDNESS_TOTAL_00900_mg_L,CHLORIDE_mg_L,Method.used.to.determine.Chloride,SULFATE_mg_L,Method.used.to.determine.Sulfate,ECOLI,RMK_ECOLI,ENTEROCOCCI,RMK_ENTEROCOCCI,FECAL_COLI,RMK_FECAL_COLI,CHLOROPHYLL_A_ug_L,TSS_mg_L,SECCHI_DEPTH_M,NOx_TKN_Sum,Latitude,Longitude,STA_LV1_CODE,STA_LV3_CODE,LV3_DESCRIPTION,geom
4AROA192.94,HARDY FORD - SML,6/28/94 11:00,0.3,STORET DATA CONVERSION,8.5,26.2,8.16,1.0,340.0,1.63,2.0,0.04,0.93,2.0,0.7,0.06,0.01,,15.6,1.0,24.2,1.0,,,,,100.0,,,13.0,0.5,0.93,37.2176,-79.80008,RESERV,ATRND,Ambient Trend Station,
4AROA192.94,HARDY FORD - SML,6/28/94 11:10,5.0,STORET DATA CONVERSION,8.4,24.33,5.6,1.0,345.0,1.69,2.0,0.04,0.99,2.0,0.7,0.07,0.01,,17.8,1.0,24.7,1.0,,,,,,,,16.0,0.5,0.99,37.2176,-79.80008,RESERV,ATRND,Ambient Trend Station,
4AROA192.94,HARDY FORD - SML,6/28/94 11:30,99.87,STORET DATA CONVERSION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2176,-79.80008,RESERV,ATRND,Ambient Trend Station,
4AROA192.94,HARDY FORD - SML,10/4/94 10:30,0.3,STORET DATA CONVERSION,8.3,18.6,9.7,1.0,290.0,1.97,2.0,0.05,1.17,2.0,0.8,0.09,0.01,,22.4,1.0,32.3,1.0,,,,,200.0,,,14.0,0.5,1.17,37.2176,-79.80008,RESERV,ATRND,Ambient Trend Station,
4AROA192.94,HARDY FORD - SML,10/4/94 10:45,5.0,STORET DATA CONVERSION,8.0,18.6,8.4,1.0,305.0,2.15,2.0,0.07,1.55,2.0,0.6,0.08,0.01,,24.7,1.0,36.4,1.0,,,,,,,,31.0,,1.55,37.2176,-79.80008,RESERV,ATRND,Ambient Trend Station,
4AROA192.94,HARDY FORD - SML,4/25/95 10:30,0.3,STORET DATA CONVERSION,7.9,16.0,6.5,1.0,335.0,1.04,2.0,0.23,0.64,2.0,0.4,0.05,0.03,,21.4,1.0,32.4,1.0,,,,,,,,10.0,,0.64,37.2176,-79.80008,RESERV,ATRND,Ambient Trend Station,
4AROA192.94,HARDY FORD - SML,4/25/95 10:30,5.0,STORET DATA CONVERSION,7.8,15.3,4.1,1.0,320.0,1.0,2.0,0.25,0.6,2.0,0.4,0.04,0.03,,19.6,1.0,31.7,1.0,,,,,,,,15.0,,0.6,37.2176,-79.80008,RESERV,ATRND,Ambient Trend Station,
4AROA192.94,HARDY FORD - SML,6/27/95 11:00,0.3,STORET DATA CONVERSION,8.47,25.05,10.17,1.0,250.0,0.94,2.0,0.04,0.24,2.0,0.7,0.08,0.03,,10.6,1.0,17.4,1.0,,,,,,,,8.0,0.7,0.24,37.2176,-79.80008,RESERV,ATRND,Ambient Trend Station,
4AROA192.94,HARDY FORD - SML,8/7/95 11:00,0.3,STORET DATA CONVERSION,8.85,28.7,7.9,1.0,335.0,0.91,2.0,0.05,0.31,2.0,0.6,0.07,0.02,,17.6,1.0,24.5,1.0,,,,,100.0,,,10.0,1.0,0.31,37.2176,-79.80008,RESERV,ATRND,Ambient Trend Station,
4AROA192.94,HARDY FORD - SML,6/27/95 11:00,1.0,,,25.1,10.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.2176,-79.80008,RESERV,ATRND,Ambient Trend Station,
4AROA192.94,HARDY FORD - SML,6/27/95 11:00,4.0,,,21.3,7.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,37.2176,-79.80008,RESERV,ATRND,Ambient Trend Station,
