FDT_STA_ID,STA_DESC,FDT_DATE_TIME,FDT_DEPTH,FDT_COMMENT,FDT_FIELD_PH,FDT_TEMP_CELCIUS,DO_mg_L,Method.Used.for.DO,FDT_SPECIFIC_CONDUCTANCE,NITROGEN_mg_L,Method.Used.for.Nitrogen,AMMONIA_mg_L,NOX_mg_L,Method.used.to.detemine.NOx,NITROGEN_KJELDAHL_TOTAL_00625_mg_L,PHOSPHORUS_TOTAL_00665_mg_L,PHOSPHORUS_TOTAL_ORTHOPHOSPHATE_70507_mg_L,HARDNESS_TOTAL_00900_mg_L,CHLORIDE_mg_L,Method.used.to.determine.Chloride,SULFATE_mg_L,Method.used.to.determine.Sulfate,ECOLI,RMK_ECOLI,ENTEROCOCCI,RMK_ENTEROCOCCI,FECAL_COLI,RMK_FECAL_COLI,CHLOROPHYLL_A_ug_L,TSS_mg_L,SECCHI_DEPTH_M,NOx_TKN_Sum,Latitude,Longitude,STA_LV1_CODE,STA_LV3_CODE,LV3_DESCRIPTION,geom
4AROA195.60,McVeigh Ford,4/27/21 9:40,0.3,,7.94,14.39,9.3,2.0,326.0,1.66,1.0,0.05,1.55,1.0,,0.01,0.01,,,,,,10.0,,,,,,1.01,,1.0,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,4/27/21 9:40,1.0,,7.94,14.3,9.32,2.0,325.0,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,4/27/21 9:40,2.0,,7.93,14.25,9.35,2.0,324.0,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,7/6/21 10:00,0.3,,8.08,24.31,7.96,2.0,389.0,1.63,1.0,0.05,1.31,1.0,,0.02,0.01,,,,,,31.0,,,,,,0.76,,1.3,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,7/6/21 10:00,1.0,,8.08,24.11,7.97,2.0,389.0,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,7/6/21 10:00,2.0,,8.06,23.9,7.83,2.0,388.0,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,7/6/21 10:00,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,7/6/21 10:00,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,9/2/21 15:00,0.3,,7.93,23.26,7.61,2.0,319.0,1.32,1.0,0.11,0.86,1.0,,0.05,0.02,,,,,,886.0,,,,,,1.1,,0.5,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,9/2/21 15:00,1.0,,7.57,22.88,7.58,2.0,318.0,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,9/2/21 15:00,2.0,,7.92,22.8,7.54,2.0,319.0,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,6/7/21 10:00,0.3,,8.02,24.21,7.68,2.0,422.0,1.73,1.0,0.05,1.56,1.0,,0.05,0.02,,,,,,86.0,,,,,,0.87,,1.5,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,6/7/21 10:00,1.0,,8.0,24.05,7.47,2.0,423.0,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,6/7/21 10:00,2.0,,7.92,23.71,7.1,2.0,425.0,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,6/7/21 10:00,3.0,,7.88,23.59,6.98,2.0,422.0,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,6/7/21 10:00,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,8/2/21 10:10,0.3,,8.15,25.58,8.16,2.0,458.0,2.45,1.0,0.36,1.88,1.0,,0.03,0.02,,,,,,41.0,,,,,,0.98,,1.5,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,8/2/21 10:10,1.0,,8.12,25.48,8.06,2.0,458.0,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,8/2/21 10:10,2.0,,8.05,25.32,7.78,2.0,459.0,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,8/2/21 10:00,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,8/2/21 10:00,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,5/5/21 12:30,0.3,,7.76,20.0,7.27,2.0,291.0,1.89,1.0,0.12,1.52,1.0,,0.06,0.02,,,,,,1918.0,,,,,,1.3,,0.4,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,5/5/21 12:30,1.0,,7.71,19.62,7.27,2.0,289.0,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,5/5/21 12:30,2.0,,7.71,19.56,7.19,2.0,287.0,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,5/11/22 11:00,0.3,,7.84,16.8,8.34,2.0,351.0,2.0,1.0,0.05,1.65,1.0,,0.02,0.02,,,,,,31.0,,,,,,0.37,,1.9,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,5/11/22 10:00,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,5/11/22 10:00,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,5/11/22 10:00,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,5/11/22 10:00,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,7/5/22 13:30,0.3,,7.93,27.19,7.37,2.0,361.0,2.41,1.0,0.01,1.86,1.0,,0.03,0.01,,,,,,20.0,,,,,,12.9,,1.5,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,7/5/22 13:30,1.0,,7.87,26.28,7.34,2.0,356.0,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,7/5/22 13:30,2.0,,7.81,25.59,7.0,2.0,367.0,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,8/1/22 14:00,0.3,,7.99,25.41,7.02,2.0,426.0,2.76,1.0,0.05,2.19,1.0,,0.05,0.02,,,,,,384.0,,,,,,1.67,,0.4,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,8/1/22 10:00,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,8/1/22 10:00,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,8/1/22 10:00,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,8/1/22 10:00,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,4/4/22 11:00,0.3,,7.88,12.24,9.54,2.0,334.0,1.84,1.0,0.01,1.61,1.0,,0.02,0.01,,,,,,10.0,,,,,,1.16,,1.3,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,4/4/22 11:00,1.0,,7.88,12.23,9.49,2.0,334.0,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,4/4/22 11:00,2.0,,7.87,12.22,9.48,2.0,334.0,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,6/2/22 9:50,0.3,,7.84,21.69,7.83,2.0,334.0,1.67,1.0,0.04,1.38,1.0,,0.02,0.01,,,,,,278.0,,,,,,0.23,,1.1,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,6/2/22 9:50,1.0,,7.83,21.64,7.82,2.0,334.0,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
4AROA195.60,McVeigh Ford,6/2/22 9:50,2.0,,7.82,21.63,7.82,2.0,334.0,,,,,,,,,,,,,,,,,,,,,,,,37.218922,-79.830506,RESERV,AWTSHD,Ambient Watershed Station,
